subject,speed,point 0,point 1,point 2,point 3,point 4,point 5
Subject17,0.60998,0,10,68,138,201,245
Subject17,0.619416,0,11,99,138,201,257
Subject17,0.746853,0,11,93,136,197,248
Subject17,0.747109,0,11,96,135,195,257
Subject17,0.75789,0,10,65,126,199,247
Subject17,0.765264,0,11,97,134,192,240
Subject17,0.7698729999999999,0,45,138,186,239,275
Subject17,1.2616459999999998,0,13,58,90,137,190
Subject17,1.2930270000000001,0,14,46,107,184,251
Subject17,1.3448639999999998,0,12,46,88,133,189
Subject17,1.36117,0,13,46,91,136,196
Subject17,1.370623,0,12,54,93,129,192
Subject17,1.371412,0,14,59,98,134,188
Subject17,1.386575,0,14,48,130,185,256
Subject17,1.391348,0,14,45,84,134,254
Subject17,1.406862,0,11,44,86,135,189
Subject17,1.414439,0,13,95,133,185,256
Subject17,1.9026470000000002,0,11,68,123,225,257
Subject17,1.916437,0,12,66,122,175,260
Subject17,1.9820689999999999,0,9,42,86,122,175
Subject17,2.006884,0,12,69,127,176,231
Subject17,2.027388,0,48,129,178,230,263
Subject17,2.0293229999999998,0,12,45,88,122,253
Subject17,2.039098,0,12,67,127,173,257
Subject17,2.057419,0,44,81,121,172,258
Subject17,2.061101,0,11,44,123,174,226
Subject17,2.071856,0,12,73,126,172,258
