subject,speed,point 0,point 1,point 2,point 3,point 4,point 5
Subject12,0.60661,0,9,68,143,202,240
Subject12,0.619123,0,9,110,151,207,247
Subject12,0.659008,0,13,65,147,204,244
Subject12,0.696277,0,10,65,139,202,247
Subject12,0.813239,0,14,71,141,201,246
Subject12,0.814231,0,9,68,137,199,246
Subject12,1.1218709999999998,0,13,81,121,189,242
Subject12,1.1393469999999999,0,12,74,135,196,254
Subject12,1.146001,0,14,100,132,190,244
Subject12,1.1463079999999999,0,10,78,113,189,245
Subject12,1.193435,0,13,84,126,190,251
Subject12,1.200024,0,11,55,125,187,248
Subject12,1.280154,0,10,81,130,189,248
Subject12,1.290255,0,14,77,108,188,249
Subject12,1.704468,0,26,90,129,180,243
Subject12,1.835977,0,33,92,126,189,247
Subject12,1.886724,0,26,89,142,183,243
Subject12,1.915903,0,55,93,132,190,248
Subject12,1.9273049999999998,0,26,84,142,180,242
