subject,speed,point 0,point 1,point 2,point 3,point 4,point 5
Subject19,0.40128,0,14,110,170,225,262
Subject19,0.46949700000000005,0,16,113,150,218,255
Subject19,0.501239,0,16,116,154,214,257
Subject19,0.628483,0,9,87,147,209,254
Subject19,0.668503,0,13,106,150,210,253
Subject19,0.679696,0,15,84,150,210,257
Subject19,0.700531,0,14,87,152,210,256
Subject19,0.758547,0,12,78,140,200,247
Subject19,0.783308,0,13,68,144,204,251
Subject19,0.804012,0,19,81,141,207,252
Subject19,0.830363,0,13,113,151,207,255
Subject19,0.8377209999999999,0,15,75,144,200,252
Subject19,0.8416379999999999,0,12,90,144,201,251
Subject19,0.901824,0,13,74,142,197,253
Subject19,0.9140209999999999,0,11,97,137,200,247
Subject19,0.9146489999999999,0,12,87,141,197,250
Subject19,0.9149200000000001,0,13,75,135,195,250
Subject19,0.9201959999999999,0,13,78,137,200,251
Subject19,0.929581,0,9,97,142,203,257
Subject19,0.938474,0,12,81,139,206,258
Subject19,0.9385469999999999,0,14,87,145,197,253
Subject19,0.9623389999999999,0,12,97,136,204,255
Subject19,1.0114020000000001,0,9,78,133,203,256
Subject19,1.011883,0,12,74,124,196,250
Subject19,1.026541,0,12,71,129,201,252
Subject19,1.0398290000000001,0,12,87,124,194,254
Subject19,1.045557,0,11,81,138,199,255
Subject19,1.046266,0,14,90,138,200,257
Subject19,1.053417,0,14,100,139,199,255
Subject19,1.449351,0,11,89,126,192,255
Subject19,1.453898,0,11,84,123,193,254
Subject19,1.454038,0,14,74,123,185,251
Subject19,1.463506,0,13,68,117,184,251
Subject19,1.468063,0,13,68,110,183,246
Subject19,1.480987,0,11,85,123,191,254
Subject19,1.501077,0,10,81,120,190,252
Subject19,1.5187959999999998,0,14,97,135,182,247
Subject19,1.557248,0,15,81,120,182,254
Subject19,1.565167,0,11,74,126,189,250
