subject,speed,point 0,point 1,point 2,point 3,point 4,point 5
Subject18,0.719178,0,11,68,145,198,246
Subject18,0.730305,0,14,131,188,249,280
Subject18,0.737305,0,12,135,188,241,280
Subject18,0.761129,0,10,146,197,243,282
Subject18,0.77008,0,14,123,190,244,280
Subject18,0.7834,0,10,132,193,238,278
Subject18,0.9746739999999999,0,11,81,149,205,256
Subject18,0.974678,0,13,44,144,196,278
Subject18,1.001376,0,12,49,122,190,252
Subject18,1.017574,0,17,50,145,197,253
Subject18,1.019743,0,12,77,146,198,249
Subject18,1.027699,0,14,49,137,190,248
Subject18,1.0375370000000002,0,9,47,136,197,250
Subject18,1.0409329999999999,0,8,81,147,203,253
Subject18,1.374328,0,14,65,139,199,255
Subject18,1.380116,0,13,59,128,191,254
Subject18,1.405369,0,11,59,128,185,252
Subject18,1.4320959999999998,0,3,59,127,190,243
Subject18,1.464806,0,7,56,129,196,248
Subject18,1.495647,0,9,59,132,193,253
Subject18,1.517495,0,11,59,130,194,244
Subject18,1.571403,0,10,59,129,190,245
Subject18,1.594429,0,13,104,135,193,266
