subject,speed,point 0,point 1,point 2,point 3,point 4,point 5
Subject21,0.8600129999999999,0,14,92,141,195,253
Subject21,0.8731770000000001,0,21,57,143,196,256
Subject21,0.8766790000000001,0,17,103,134,195,253
Subject21,0.877288,0,22,60,141,198,257
Subject21,0.884574,0,18,111,142,193,255
Subject21,0.889769,0,21,60,136,196,256
Subject21,0.898108,0,17,60,133,194,255
Subject21,0.9051469999999999,0,18,66,140,195,252
Subject21,0.9190229999999999,0,21,63,143,194,253
Subject21,0.9357639999999999,0,22,66,138,195,255
Subject21,1.08328,0,19,108,139,194,256
Subject21,1.120385,0,16,63,118,189,253
Subject21,1.132858,0,22,106,137,196,263
Subject21,1.223697,0,17,81,115,188,259
Subject21,1.29017,0,25,142,196,227,278
