subject,speed,point 0,point 1,point 2,point 3,point 4,point 5
Subject15,0.593621,0,10,68,140,199,280
Subject15,0.6064609999999999,0,16,78,126,205,248
Subject15,0.715461,0,14,78,123,197,242
Subject15,0.992714,0,18,81,135,189,236
Subject15,1.134932,0,22,65,113,186,279
Subject15,1.2092610000000001,0,19,63,107,186,247
Subject15,1.297079,0,14,62,121,186,239
Subject15,1.30237,0,11,56,103,187,249
Subject15,1.385833,0,18,94,137,182,243
Subject15,1.421311,0,17,62,106,183,251
Subject15,1.558133,0,7,52,95,177,254
Subject15,1.7559209999999998,0,28,74,117,196,264
Subject15,2.100396,0,28,103,184,232,275
Subject15,2.129598,0,27,78,126,187,248
