subject,speed,point 0,point 1,point 2,point 3,point 4,point 5
Subject20,0.586227,0,13,83,139,196,251
Subject20,0.597644,0,13,72,131,208,251
Subject20,0.636521,0,13,56,132,212,255
Subject20,0.646112,0,13,60,131,205,249
Subject20,0.647071,0,12,97,141,207,250
Subject20,0.653215,0,12,60,131,205,248
Subject20,0.657511,0,13,56,125,207,251
Subject20,0.663913,0,12,60,129,207,250
Subject20,0.682616,0,14,60,144,210,254
Subject20,0.68267,0,12,60,131,207,250
Subject20,1.23119,0,13,88,132,196,245
Subject20,1.26132,0,14,93,137,192,276
Subject20,1.26827,0,15,80,123,194,249
Subject20,1.269097,0,16,83,133,193,251
Subject20,1.2750110000000001,0,16,60,120,194,250
Subject20,1.292442,0,14,83,126,193,275
Subject20,1.8219849999999997,0,15,71,122,183,250
Subject20,1.8222880000000001,0,16,78,121,173,247
Subject20,1.846832,0,15,79,122,179,248
Subject20,1.864982,0,15,70,127,182,276
Subject20,1.8651529999999998,0,14,71,122,178,246
Subject20,1.90127,0,13,70,122,176,273
Subject20,1.9088650000000003,0,13,73,122,172,243
Subject20,1.948279,0,12,76,121,172,243
Subject20,1.952821,0,13,75,130,179,273
